phase,scale,fmax_ghz,tmin_ns,steady,ok,fom_access_sweep_sci,fom_cycle_tmin_sweep_sci,margin_vs_spec_x
scout,1.00,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.95,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.90,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.85,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.80,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.75,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.70,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.65,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.60,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.58,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.56,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.54,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.52,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.50,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.48,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.46,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.44,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.42,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
scout,0.40,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
final,1.00,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
final,0.95,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
final,0.90,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
final,0.85,4.571429,0.21875,true,true,1.2560e-22,4.8900e-22,9.1429
